"segment_filename","wordcount","phon_count","gram_count","source","age","female_flag","duration","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"PRV_se0_ag3_f_02_1_1750993_1757262.wav",17,1,0,"PRV",40,1,6.2692,0,0.235294118,0.058823529,0,0.352941176
"ROC_se0_ag1_m_02_1_164419_197782.wav",119,12,1,"ROC",27,0,33.3622,0.529411765,0.647058824,0.512605042,0.537815126,1
"DCB_se1_ag2_f_03_1_1344348_1351219.wav",23,2,0,"DCB",25,1,6.8708,0,0.260869565,0.130434783,0.130434783,0.217391304
"DCB_se2_ag3_m_01_1_1403432_1432834.wav",112,13,0,"DCB",35,0,29.4017,0.3125,0.276785714,0.178571429,0.196428571,0.303571429
"DCB_se1_ag4_m_02_1_1546069_1555346.wav",32,8,1,"DCB",67,0,9.2776,0.46875,0.71875,0.5625,0.5,0.625
"PRV_se0_ag1_f_01_1_239146_247906.wav",40,3,3,"PRV",19,1,8.7596,0.625,0.75,0.575,0.575,0.85
"ROC_se0_ag2_f_02_1_1720121_1726612.wav",34,1,0,"ROC",32,1,6.4917,0.264705882,0.411764706,0.176470588,0.294117647,0.5
"ROC_se0_ag2_f_04_1_193297_198300.wav",18,0,0,"ROC",43,1,5.0025,0.277777778,0.166666667,0.277777778,0.277777778,0.111111111
"DCB_se1_ag3_f_01_1_682434_731413.wav",161,15,0,"DCB",42,1,48.9793,0.198757764,0.279503106,0.229813665,0.204968944,0.354037267
"ROC_se0_ag3_f_02_1_1699087_1707565.wav",25,4,1,"ROC",80,1,8.4785,0.08,0.2,0.08,0.12,0.2
"ROC_se0_ag2_f_02_1_2901032_2936926.wav",104,1,0,"ROC",32,1,35.8944,0.096153846,0.105769231,0.105769231,0.076923077,0.067307692
"PRV_se0_ag3_m_01_1_1239328_1249532.wav",26,1,0,"PRV",64,0,10.2033,0.115384615,0.153846154,0.115384615,0.076923077,0.038461538
"PRV_se0_ag1_f_01_1_263425_268630.wav",22,3,0,"PRV",19,1,5.2047,0.454545455,0.318181818,0.227272727,0.363636364,0.636363636
"ROC_se0_ag2_f_03_1_1240617_1251125.wav",34,0,0,"ROC",39,1,10.5079,0.176470588,0.176470588,0.176470588,0.147058824,0.235294118
"PRV_se0_ag1_f_01_1_739073_752753.wav",49,15,0,"PRV",19,1,13.6803,0.448979592,0.591836735,0.448979592,0.387755102,0.591836735
"ROC_se0_ag3_f_02_1_2471400_2503647.wav",62,3,0,"ROC",80,1,32.247,0.032258065,0.048387097,0.129032258,0.096774194,0.080645161
"PRV_se0_ag3_m_01_2_337858_348258.wav",16,2,0,"PRV",64,0,10.4001,0.1875,0.125,0.125,0.25,0.4375
"ROC_se0_ag1_f_02_1_422637_464536.wav",128,1,0,"ROC",28,1,41.8984,0.1953125,0.140625,0.1484375,0.0859375,0.28125
"PRV_se0_ag3_f_04_1_1293311_1304852.wav",14,3,1,"PRV",76,1,11.5408,0.214285714,0.714285714,0.642857143,0.5,0.785714286
"PRV_se0_ag2_f_02_1_1322156_1330598.wav",24,5,1,"PRV",48,1,8.4422,0.041666667,0.458333333,0.333333333,0.458333333,0.666666667
"PRV_se0_ag1_f_01_1_1848815_1854862.wav",9,1,0,"PRV",19,1,6.0473,0.333333333,0.666666667,0.666666667,0.666666667,0.888888889
"DCB_se2_ag4_f_02_1_2043679_2058057.wav",41,6,0,"DCB",51,1,14.3781,0.243902439,0.341463415,0.341463415,0.268292683,0.390243902
"ROC_se0_ag3_f_02_1_1053864_1089199.wav",74,7,2,"ROC",80,1,35.3349,0.121621622,0.283783784,0.297297297,0.135135135,0.202702703
"ROC_se0_ag1_f_01_1_2814366_2829390.wav",48,3,0,"ROC",26,1,15.0237,0.166666667,0.291666667,0.270833333,0.229166667,0.270833333
"DCB_se1_ag2_m_01_1_51264_58418.wav",12,3,0,"DCB",27,0,7.1534,0.333333333,0.916666667,0.416666667,0.5,0.75
"ROC_se0_ag1_m_03_1_1325836_1333639.wav",17,1,0,"ROC",25,0,7.8035,0.352941176,0.411764706,0.176470588,0.294117647,0.588235294
"ROC_se0_ag2_f_03_1_2266432_2313606.wav",110,0,0,"ROC",39,1,47.1739,0.063636364,0.027272727,0.045454545,0.036363636,0.136363636
"PRV_se0_ag3_m_02_2_65047_72323.wav",17,7,0,"PRV",78,0,7.2756,0.882352941,0.823529412,0.882352941,1,1
"PRV_se0_ag3_m_01_1_1321129_1339820.wav",44,3,0,"PRV",64,0,18.6911,0.068181818,0.272727273,0.181818182,0.090909091,0.136363636
"PRV_se0_ag3_m_01_1_1997146_2020374.wav",63,4,0,"PRV",64,0,23.2284,0.238095238,0.206349206,0.111111111,0.158730159,0.222222222
"DCB_se2_ag4_f_05_1_1003212_1026158.wav",55,5,2,"DCB",61,1,22.9463,0.290909091,0.563636364,0.436363636,0.363636364,0.472727273
"DCB_se3_ag3_f_02_1_2883645_2918424.wav",121,6,2,"DCB",39,1,34.7788,0.58677686,0.537190083,0.32231405,0.404958678,0.611570248
"DCB_se2_ag2_f_02_1_729651_746981.wav",57,1,0,"DCB",23,1,17.3297,0.315789474,0.280701754,0.263157895,0.228070175,0.456140351
"PRV_se0_ag2_f_02_2_410739_422869.wav",31,3,1,"PRV",48,1,12.1303,0.451612903,0.548387097,0.516129032,0.258064516,0.741935484
"PRV_se0_ag3_f_02_2_1083422_1090341.wav",12,1,0,"PRV",40,1,6.919,0,0.333333333,0.166666667,0.083333333,0.166666667
"ROC_se0_ag2_f_02_1_2640085_2645206.wav",19,1,0,"ROC",32,1,5.1207,0.210526316,0.263157895,0.157894737,0.052631579,0.263157895
"ROC_se0_ag3_f_02_1_3135582_3162790.wav",60,2,2,"ROC",80,1,27.2081,0.183333333,0.266666667,0.183333333,0.15,0.2
"DCB_se3_ag4_m_01_1_3212518_3245845.wav",114,8,5,"DCB",60,0,33.3271,0.421052632,0.350877193,0.175438596,0.271929825,0.350877193
"PRV_se0_ag3_m_03_1_1782492_1788009.wav",26,8,1,"PRV",83,0,5.5172,0.730769231,0.653846154,0.730769231,1,0.730769231
"DCB_se2_ag2_f_02_1_3603855_3628279.wav",86,2,0,"DCB",23,1,24.4243,0.26744186,0.290697674,0.220930233,0.255813953,0.395348837
"ROC_se0_ag1_f_03_1_868173_881744.wav",26,0,0,"ROC",28,1,13.5714,0.269230769,0.230769231,0.230769231,0.076923077,0.153846154
"ROC_se0_ag1_f_03_1_2721964_2731344.wav",22,0,0,"ROC",28,1,9.3806,0.181818182,0.181818182,0.045454545,0.181818182,0.090909091
"DCB_se2_ag4_f_03_1_547321_561317.wav",52,4,0,"DCB",65,1,13.9957,0.211538462,0.461538462,0.192307692,0.115384615,0.384615385
"ROC_se0_ag2_f_03_1_2989460_3013623.wav",71,1,0,"ROC",39,1,24.1632,0.070422535,0.154929577,0.126760563,0.084507042,0.154929577
"ROC_se0_ag3_f_02_1_3098829_3122479.wav",44,3,1,"ROC",80,1,23.6497,0.159090909,0.340909091,0.25,0.204545455,1
"DCB_se3_ag3_m_02_1_2176050_2183078.wav",33,4,0,"DCB",40,0,7.0277,0.272727273,0.484848485,0.454545455,0.272727273,0.666666667
"DCB_se1_ag2_f_03_1_3274626_3305744.wav",92,4,0,"DCB",25,1,31.1177,0.086956522,0.282608696,0.195652174,0.086956522,0.282608696
"DCB_se2_ag2_f_02_1_3279089_3285518.wav",20,1,0,"DCB",23,1,6.429,0.45,0.4,0.35,0.25,0.75
"PRV_se0_ag1_f_01_2_361659_369799.wav",29,5,1,"PRV",19,1,8.1395,0.586206897,0.551724138,0.448275862,0.379310345,0.620689655
"PRV_se0_ag3_m_01_1_2638522_2653973.wav",17,2,0,"PRV",64,0,15.4507,0.235294118,0.294117647,0.470588235,0.294117647,0.176470588
"PRV_se0_ag2_f_03_1_33962_40487.wav",21,3,4,"PRV",48,1,6.5254,0.666666667,0.80952381,0.666666667,0.666666667,0.714285714
"PRV_se0_ag3_m_03_1_624766_631311.wav",14,6,0,"PRV",83,0,6.5444,0.142857143,0.571428571,0.5,0.5,0.5
"DCB_se3_ag3_m_01_1_338323_346905.wav",33,1,0,"DCB",33,0,8.5821,0.151515152,0.090909091,0.181818182,0.181818182,0.121212121
"ROC_se0_ag3_f_01_1_1341401_1376200.wav",89,2,0,"ROC",52,1,34.7992,0.134831461,0.157303371,0.112359551,0.134831461,0.191011236
"PRV_se0_ag3_m_02_1_11595_17685.wav",28,6,3,"PRV",78,0,6.0899,0.785714286,0.821428571,0.75,0.642857143,0.821428571
"DCB_se1_ag3_m_02_1_683270_732731.wav",132,11,3,"DCB",36,0,49.4607,0.196969697,0.439393939,0.303030303,0.28030303,0.659090909
"PRV_se0_ag3_m_01_1_1059096_1070592.wav",17,1,0,"PRV",64,0,11.4955,0.117647059,0.176470588,0.352941176,0.058823529,0.235294118
"ROC_se0_ag1_m_03_1_2810906_2818522.wav",22,3,0,"ROC",25,0,7.6163,0.272727273,0.454545455,0.272727273,0.227272727,0.318181818
"PRV_se0_ag3_f_02_2_889873_895622.wav",17,0,0,"PRV",40,1,5.7495,0.294117647,0.294117647,0.176470588,0.235294118,0.411764706
"PRV_se0_ag3_m_01_1_2244102_2252630.wav",28,4,0,"PRV",64,0,8.5277,0.178571429,0.285714286,0.178571429,0.107142857,0.178571429
"DCB_se2_ag3_m_01_1_3230540_3246025.wav",33,1,0,"DCB",35,0,15.4854,0.272727273,0.363636364,0.272727273,0.151515152,0.393939394
"DCB_se3_ag4_m_02_1_330093_349820.wav",57,1,0,"DCB",66,0,19.7272,0.105263158,0.192982456,0.122807018,0.175438596,0.192982456
"PRV_se0_ag3_m_02_2_1033958_1042796.wav",35,3,2,"PRV",78,0,8.8381,0.228571429,0.257142857,0.257142857,0.257142857,0.285714286
"ROC_se0_ag3_f_02_1_2579639_2587011.wav",16,2,0,"ROC",80,1,7.3727,0.1875,0.5,0.5,0.125,0.4375
"PRV_se0_ag3_f_02_2_1965995_1971167.wav",17,3,0,"PRV",40,1,5.1723,0.235294118,0.352941176,0.294117647,0.176470588,0.352941176
"ROC_se0_ag1_m_01_1_3413916_3427781.wav",43,3,0,"ROC",24,0,13.8652,0.255813953,0.395348837,0.23255814,0.23255814,0.395348837
"DCB_se2_ag4_f_02_1_678229_691711.wav",40,1,0,"DCB",51,1,13.4817,0.025,0.025,0.025,0.025,0.05
"ROC_se0_ag1_f_01_1_1786399_1804459.wav",61,5,1,"ROC",26,1,18.0601,0.147540984,0.213114754,0.213114754,0.131147541,0.393442623
"DCB_se2_ag3_m_01_1_4702217_4724189.wav",74,1,1,"DCB",35,0,21.9718,0.175675676,0.256756757,0.27027027,0.202702703,0.297297297
"PRV_se0_ag3_f_01_2_488476_509921.wav",45,9,0,"PRV",61,1,21.4453,0.111111111,0.311111111,0.222222222,0.133333333,0.311111111
"DCB_se3_ag3_m_01_1_144766_157246.wav",25,0,0,"DCB",33,0,12.4802,0.16,0.12,0.32,0.12,0.2
"PRV_se0_ag3_f_04_3_1432645_1439701.wav",19,6,1,"PRV",76,1,7.0556,0.684210526,0.736842105,0.473684211,0.315789474,0.736842105
"ROC_se0_ag2_f_03_1_2571104_2580940.wav",18,0,0,"ROC",39,1,9.8364,0.166666667,0.055555556,0.111111111,0.444444444,0.611111111
"ROC_se0_ag2_f_02_1_2165127_2184916.wav",61,1,1,"ROC",32,1,19.7884,0.393442623,0.262295082,0.229508197,0.163934426,0.459016393
"DCB_se2_ag3_m_01_1_4416802_4423275.wav",9,1,0,"DCB",35,0,6.4737,0,0,0.222222222,0,0.111111111
"PRV_se0_ag3_f_04_1_21942_34079.wav",25,8,0,"PRV",76,1,12.1373,0.44,0.84,0.68,0.52,0.84
"ROC_se0_ag1_m_01_1_3459295_3468601.wav",18,1,0,"ROC",24,0,9.3059,0.277777778,0.611111111,0.333333333,0.277777778,0.444444444
"DCB_se3_ag4_f_02_1_3624332_3665194.wav",99,0,0,"DCB",54,1,40.8622,0.151515152,0.141414141,0.161616162,0.131313131,0.141414141
"DCB_se2_ag3_f_02_1_2183557_2191315.wav",22,4,0,"DCB",31,1,7.7586,0.227272727,0.363636364,0.272727273,0.318181818,0.409090909
"ROC_se0_ag1_f_01_1_453489_469577.wav",71,4,0,"ROC",26,1,16.0878,0.126760563,0.225352113,0.183098592,0.154929577,0.295774648
"PRV_se0_ag1_f_01_1_817743_824865.wav",28,7,1,"PRV",19,1,7.1218,0.571428571,0.75,0.607142857,0.607142857,0.821428571
"DCB_se1_ag3_m_02_1_1563477_1588686.wav",51,15,1,"DCB",36,0,25.2093,0.705882353,0.823529412,0.705882353,0.784313725,0.862745098
"ROC_se0_ag1_m_01_1_1094303_1131206.wav",79,1,1,"ROC",24,0,36.9038,0.126582278,0.35443038,0.265822785,0.202531646,0.240506329
"PRV_se0_ag1_f_01_1_2023946_2032637.wav",28,5,0,"PRV",19,1,8.6913,0.142857143,0.25,0.035714286,0.178571429,0.285714286
"DCB_se1_ag2_f_03_1_2594369_2619310.wav",77,7,0,"DCB",25,1,24.9409,0.311688312,0.337662338,0.207792208,0.12987013,0.337662338
"ROC_se0_ag1_f_03_1_1654023_1664888.wav",42,0,0,"ROC",28,1,10.8653,0.095238095,0.095238095,0.047619048,0,0.119047619
"PRV_se0_ag3_f_04_3_1229788_1238482.wav",10,3,1,"PRV",76,1,8.6933,0.7,0.9,0.9,0.7,0.8
"PRV_se0_ag3_m_01_1_986228_1000398.wav",31,3,0,"PRV",64,0,14.1706,0.225806452,0.225806452,0.129032258,0.161290323,0.322580645
"DCB_se2_ag4_m_01_1_1365784_1375073.wav",36,12,0,"DCB",59,0,9.2888,1,0.805555556,0.666666667,0.722222222,0.888888889
"ROC_se0_ag1_m_01_1_3347541_3368208.wav",45,2,1,"ROC",24,0,20.6672,0.4,0.422222222,0.377777778,0.288888889,0.466666667
"DCB_se2_ag2_m_01_1_1216849_1241870.wav",81,13,0,"DCB",27,0,25.0211,0.197530864,0.358024691,0.234567901,0.234567901,0.407407407
"PRV_se0_ag1_f_01_1_895332_910331.wav",48,2,1,"PRV",19,1,14.999,0.354166667,0.333333333,0.583333333,0.395833333,0.625
"ROC_se0_ag3_f_02_1_2221266_2232596.wav",31,3,0,"ROC",80,1,11.3308,0.064516129,0.419354839,0.193548387,0.225806452,0.225806452
"ROC_se0_ag2_f_03_1_2341457_2355436.wav",21,0,0,"ROC",39,1,13.9788,0.19047619,0.142857143,0.095238095,0.047619048,0.238095238
"DCB_se2_ag3_m_01_1_1145256_1166149.wav",60,1,0,"DCB",35,0,20.8931,0.266666667,0.25,0.25,0.183333333,0.35
"DCB_se3_ag3_m_02_1_1405037_1410155.wav",21,2,0,"DCB",40,0,5.1183,0.047619048,0.095238095,0.047619048,0.095238095,0.380952381
"DCB_se3_ag3_f_02_1_688108_699492.wav",37,1,0,"DCB",39,1,11.3843,0.486486486,0.621621622,0.405405405,0.405405405,0.540540541
"DCB_se3_ag4_f_02_1_1043988_1079568.wav",92,3,0,"DCB",54,1,35.5803,0.141304348,0.163043478,0.108695652,0.108695652,0.173913043
"ROC_se0_ag1_f_02_1_1117598_1130479.wav",46,2,0,"ROC",28,1,12.8813,0.130434783,0.130434783,0.108695652,0.108695652,0.152173913
"DCB_se3_ag4_m_01_1_1148305_1163197.wav",40,3,0,"DCB",60,0,14.8921,0.1,0.05,0.125,0.1,0.125
"ROC_se0_ag2_f_03_1_1750135_1777007.wav",56,0,0,"ROC",39,1,26.8723,0.089285714,0.107142857,0.142857143,0.107142857,0.232142857
"PRV_se0_ag3_m_01_2_1147331_1160623.wav",49,6,2,"PRV",64,0,13.2922,0.285714286,0.489795918,0.306122449,0.367346939,0.428571429
"PRV_se0_ag1_f_02_2_173701_179076.wav",18,2,0,"PRV",21,1,5.3752,0.166666667,0.333333333,0.277777778,0.388888889,0.444444444
"ROC_se0_ag3_f_02_1_3084760_3095984.wav",30,1,0,"ROC",80,1,11.2244,0.033333333,0.3,0.033333333,0.233333333,0.233333333
"PRV_se0_ag3_m_03_1_1708563_1714667.wav",14,6,0,"PRV",83,0,6.1041,1,0.857142857,0.714285714,0.857142857,0.857142857
"DCB_se1_ag3_f_01_1_94738_99958.wav",7,0,0,"DCB",42,1,5.2202,0.142857143,0.142857143,0.285714286,0.285714286,0.142857143
"ROC_se0_ag3_f_02_1_1615257_1622185.wav",19,1,0,"ROC",80,1,6.9281,0.105263158,0.210526316,0.105263158,0.210526316,0.105263158
"DCB_se2_ag2_m_01_1_2643045_2659720.wav",59,7,0,"DCB",27,0,16.6756,0.152542373,0.220338983,0.169491525,0.254237288,0.406779661
