"segment_filename","basefile","black_flag","age","female_flag","source","duration","wordcount","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"HUM_1_1","HUM_1",0,30,0,"HUM",30.695,55,0.236363636,0.290909091,0.290909091,0.218181818,0.363636364
"HUM_1_2","HUM_1",0,30,0,"HUM",6.273,13,0,0,0.153846154,0.076923077,0.153846154
"HUM_1_3","HUM_1",0,30,0,"HUM",16.839,50,0.2,0.16,0.2,0.24,0.38
"HUM_1_4","HUM_1",0,30,0,"HUM",7.13600000000001,23,0.47826087,0.434782609,0.391304348,0.347826087,0.391304348
"HUM_1_5","HUM_1",0,30,0,"HUM",16.993,10,0.4,0.2,0.1,0.1,0.2
"HUM_1_6","HUM_1",0,30,0,"HUM",13.74,42,0.380952381,0.238095238,0.238095238,0.238095238,0.333333333
"HUM_1_7","HUM_1",0,30,0,"HUM",40.851,155,0.296774194,0.193548387,0.135483871,0.15483871,0.296774194
"HUM_1_8","HUM_1",0,30,0,"HUM",36.757,113,0.168141593,0.168141593,0.150442478,0.07079646,0.221238938
"HUM_1_9","HUM_1",0,30,0,"HUM",18.658,72,0.402777778,0.152777778,0.194444444,0.152777778,0.263888889
"HUM_1_10","HUM_1",0,30,0,"HUM",25.465,110,0.4,0.345454545,0.254545455,0.272727273,0.427272727
"HUM_1_13","HUM_1",0,30,0,"HUM",33.051,124,0.209677419,0.209677419,0.201612903,0.153225806,0.209677419
"HUM_1_14","HUM_1",0,30,0,"HUM",7.49000000000001,30,0.1,0.066666667,0.066666667,0.033333333,0.033333333
"HUM_1_16","HUM_1",0,30,0,"HUM",15.5829999999999,47,0.170212766,0.276595745,0.085106383,0.063829787,0.468085106
"HUM_1_17","HUM_1",0,30,0,"HUM",44.7649999999999,154,0.233766234,0.227272727,0.155844156,0.175324675,0.350649351
"HUM_1_18","HUM_1",0,30,0,"HUM",38.6469999999999,135,0.222222222,0.22962963,0.118518519,0.140740741,0.281481481
"HUM_1_19","HUM_1",0,30,0,"HUM",17.213,54,0.148148148,0.12962963,0.12962963,0.055555556,0.333333333
"HUM_1_21","HUM_1",0,30,0,"HUM",13.191,44,0.386363636,0.477272727,0.272727273,0.204545455,0.636363636
"HUM_1_22","HUM_1",0,30,0,"HUM",33.4469999999999,106,0.198113208,0.132075472,0.169811321,0.179245283,0.216981132
"HUM_1_23","HUM_1",0,30,0,"HUM",7.3760000000002,31,0.129032258,0.193548387,0.096774194,0.129032258,0.193548387
"HUM_1_26","HUM_1",0,30,0,"HUM",36.9870000000001,145,0.324137931,0.213793103,0.117241379,0.151724138,0.337931034
"HUM_1_28","HUM_1",0,30,0,"HUM",15.3079999999995,62,0.290322581,0.387096774,0.258064516,0.241935484,0.370967742
"HUM_1_29","HUM_1",0,30,0,"HUM",34.6690000000003,130,0.5,0.207692308,0.169230769,0.115384615,0.223076923
"HUM_1_30","HUM_1",0,30,0,"HUM",30.395,131,0.374045802,0.183206107,0.152671756,0.160305344,0.236641221
"HUM_1_31","HUM_1",0,30,0,"HUM",22.6300000000001,117,0.35042735,0.273504274,0.205128205,0.179487179,0.401709402
"HUM_1_32","HUM_1",0,30,0,"HUM",44.5500000000002,168,0.196428571,0.19047619,0.172619048,0.196428571,0.226190476
"HUM_1_33","HUM_1",0,30,0,"HUM",11.8090000000002,46,0.260869565,0.217391304,0.260869565,0.152173913,0.326086957
"HUM_2_1","HUM_2",0,53,1,"HUM",7.538,11,0.454545455,0.727272727,0.545454545,0.363636364,0.727272727
"HUM_2_2","HUM_2",0,53,1,"HUM",19.41,18,0.388888889,0.666666667,0.444444444,0.222222222,0.388888889
"HUM_2_3","HUM_2",0,53,1,"HUM",16.624,18,0.222222222,0.277777778,0.111111111,0.222222222,0.222222222
"HUM_2_4","HUM_2",0,53,1,"HUM",6.072,11,0.090909091,0.545454545,0.181818182,0,0
"HUM_2_5","HUM_2",0,53,1,"HUM",9.71000000000001,14,0,0.214285714,0,0,0.071428571
"HUM_2_6","HUM_2",0,53,1,"HUM",41.67,42,0.047619048,0.261904762,0.333333333,0.095238095,0.142857143
"HUM_2_7","HUM_2",0,53,1,"HUM",17.42,26,0.192307692,0.192307692,0.192307692,0.269230769,0.269230769
"HUM_2_8","HUM_2",0,53,1,"HUM",5.97200000000001,22,0.363636364,0.318181818,0.227272727,0.227272727,0.363636364
"HUM_2_9","HUM_2",0,53,1,"HUM",5.30199999999996,7,0.714285714,0.571428571,0.714285714,0.714285714,1.142857143
"HUM_2_10","HUM_2",0,53,1,"HUM",21.6590000000001,56,0.303571429,0.285714286,0.142857143,0.214285714,0.267857143
"HUM_2_11","HUM_2",0,53,1,"HUM",6.166,18,0.111111111,0.111111111,0.111111111,0.111111111,0.166666667
"HUM_2_12","HUM_2",0,53,1,"HUM",5.255,16,0.375,0.125,0.125,0.25,0.4375
"HUM_2_13","HUM_2",0,53,1,"HUM",23.929,99,0.181818182,0.161616162,0.131313131,0.090909091,0.141414141
"HUM_2_14","HUM_2",0,53,1,"HUM",7.92199999999997,40,0.225,0.25,0.2,0.15,0.35
"HUM_2_15","HUM_2",0,53,1,"HUM",10.345,42,0.095238095,0.19047619,0.071428571,0.095238095,0.214285714
"HUM_2_16","HUM_2",0,53,1,"HUM",5.65199999999993,23,0.086956522,0.217391304,0.217391304,0.173913043,0.130434783
"HUM_2_17","HUM_2",0,53,1,"HUM",24.6,100,0.16,0.12,0.06,0.07,0.24
"HUM_2_18","HUM_2",0,53,1,"HUM",5.01999999999998,27,0.148148148,0.111111111,0.148148148,0.111111111,0.111111111
"HUM_2_19","HUM_2",0,53,1,"HUM",24.298,88,0.272727273,0.238636364,0.125,0.170454545,0.272727273
"HUM_2_20","HUM_2",0,53,1,"HUM",6.43999999999994,23,0.304347826,0.130434783,0.130434783,0.173913043,0.173913043
"HUM_2_21","HUM_2",0,53,1,"HUM",7.548,30,0.1,0.1,0.066666667,0.1,0.166666667
"HUM_2_22","HUM_2",0,53,1,"HUM",5.12399999999991,19,0,0.105263158,0,0,0.315789474
"HUM_2_23","HUM_2",0,53,1,"HUM",9.25,42,0.19047619,0.214285714,0.119047619,0.261904762,0.238095238
"HUM_5_1","HUM_5",0,70,0,"HUM",26.164,67,0.149253731,0.149253731,0.164179104,0.149253731,0.208955224
"HUM_5_2","HUM_5",0,70,0,"HUM",8.95999999999999,23,0.043478261,0.043478261,0,0.086956522,0.347826087
"HUM_5_5","HUM_5",0,70,0,"HUM",5.5,15,0,0.2,0.133333333,0.133333333,0.2
